Degree,Specialization,CGPA,JobRole
MBBS,General Medicine,7.25,Doctor
B.Sc,Physics,7.75,Research Associate
MBA,Business Analytics,8.98,Business Analyst
B.Com,Finance,6.93,Financial Analyst
MBA,Business Analytics,7.64,Business Analyst
MBBS,General Medicine,6.69,Doctor
MCA,Computer Applications,8.92,Application Developer
B.Tech,Data Science,8.65,Data Scientist
MBBS,General Medicine,6.83,Doctor
B.Pharm,Pharmacy,7.55,Pharmacist
BA,Public Administration,7.65,Policy Analyst
B.Tech,Electronics,7.41,Embedded Systems Engineer
BA,English,8.31,Content Specialist
MBA,Finance,8.57,Financial Analyst
MBBS,General Medicine,6.73,Doctor
BA,English,6.61,Content Specialist
B.Pharm,Pharmacy,7.36,Pharmacist
BBA,Finance,6.54,Financial Analyst
MCA,Computer Applications,7.63,Application Developer
BBA,Finance,8.75,Financial Analyst
MBA,Business Analytics,8.17,Business Analyst
MBA,Business Analytics,8.68,Business Analyst
B.Sc,Biotechnology,8.75,Biotech Associate
BBA,Finance,8.14,Financial Analyst
BA,Psychology,8.62,Counselor
B.Tech,Electronics,8.83,Embedded Systems Engineer
MBA,HR,8.7,HR Executive
B.Tech,Data Science,6.72,Data Scientist
B.Tech,Mechanical,6.76,Mechanical Design Engineer
B.Tech,Information Technology,7.76,IT Analyst
B.Com,Banking,7.35,Bank Officer
B.Pharm,Pharmacy,7.93,Pharmacist
BA,English,8.93,Content Specialist
MCA,Computer Applications,7.95,Application Developer
B.Pharm,Pharmacy,8.09,Pharmacist
B.Pharm,Pharmacy,8.12,Pharmacist
MCA,Computer Applications,8.63,Application Developer
B.Sc,Mathematics,7.15,Quantitative Analyst
B.Com,Banking,7.76,Bank Officer
B.Sc,Mathematics,8.18,Quantitative Analyst
B.Pharm,Pharmacy,8.92,Pharmacist
B.Sc,Statistics,8.03,Data Analyst
MBBS,General Medicine,8.41,Doctor
BA,English,8.56,Content Specialist
B.Com,Banking,8.91,Bank Officer
B.Sc,Nursing,7.99,Staff Nurse
BBA,Entrepreneurship,7.74,Business Development Executive
B.Com,Accounting,7.75,Accountant
BBA,Entrepreneurship,7.29,Business Development Executive
MBA,Business Analytics,8.66,Business Analyst
B.Tech,AI & ML,6.97,ML Engineer
B.Pharm,Pharmacy,8.97,Pharmacist
B.Sc,Nursing,8.84,Staff Nurse
BBA,Finance,6.56,Financial Analyst
BBA,HR,7.06,HR Executive
MBBS,General Medicine,8.54,Doctor
BA,English,8.31,Content Specialist
B.Pharm,Pharmacy,7.7,Pharmacist
BBA,Marketing,8.78,Marketing Manager
BBA,Marketing,8.09,Marketing Manager
B.Sc,Physics,7.32,Research Associate
MCA,Computer Applications,6.52,Application Developer
MBA,Finance,8.39,Financial Analyst
BBA,Entrepreneurship,7.32,Business Development Executive
B.Sc,Nursing,7.57,Staff Nurse
B.Pharm,Pharmacy,7.41,Pharmacist
BA,Psychology,7.78,Counselor
MCA,Computer Applications,6.64,Application Developer
MBBS,General Medicine,8.49,Doctor
MBBS,General Medicine,7.47,Doctor
BBA,Finance,7.28,Financial Analyst
B.Sc,Chemistry,8.95,Lab Analyst
MCA,Computer Applications,8.92,Application Developer
BBA,Finance,6.56,Financial Analyst
MCA,Computer Applications,8.59,Application Developer
B.Sc,Statistics,8.73,Data Analyst
MBA,Operations,7.77,Operations Manager
MBBS,General Medicine,6.89,Doctor
B.Tech,Information Technology,6.89,IT Analyst
B.Com,Banking,8.04,Bank Officer
B.Pharm,Pharmacy,6.53,Pharmacist
MBA,Business Analytics,8.09,Business Analyst
BBA,HR,6.92,HR Executive
MBA,Marketing,7.24,Marketing Manager
MCA,Computer Applications,8.32,Application Developer
MBBS,General Medicine,6.98,Doctor
B.Pharm,Pharmacy,6.89,Pharmacist
B.Sc,Physics,8.9,Research Associate
BBA,HR,8.54,HR Executive
MBA,Business Analytics,8.62,Business Analyst
BA,Economics,6.81,Economic Analyst
B.Sc,Biotechnology,7.88,Biotech Associate
B.Sc,Nursing,8.83,Staff Nurse
MCA,Computer Applications,8.99,Application Developer
BBA,HR,7.08,HR Executive
MCA,Computer Applications,8.45,Application Developer
B.Com,Accounting,7.49,Accountant
MCA,Computer Applications,8.49,Application Developer
B.Sc,Physics,7.71,Research Associate
MCA,Computer Applications,8.61,Application Developer
B.Pharm,Pharmacy,7.45,Pharmacist
MBA,Marketing,8.35,Marketing Manager
MCA,Computer Applications,8.16,Application Developer
B.Sc,Statistics,6.76,Data Analyst
BBA,Entrepreneurship,7.29,Business Development Executive
MBBS,General Medicine,6.93,Doctor
B.Sc,Physics,8.6,Research Associate
B.Tech,Electronics,7.03,Embedded Systems Engineer
B.Pharm,Pharmacy,6.79,Pharmacist
B.Com,Banking,6.76,Bank Officer
B.Com,Banking,7.55,Bank Officer
B.Sc,Physics,7.5,Research Associate
MCA,Computer Applications,7.79,Application Developer
B.Tech,Information Technology,6.54,IT Analyst
B.Pharm,Pharmacy,8.89,Pharmacist
B.Pharm,Pharmacy,7.36,Pharmacist
B.Tech,Civil,7.21,Site Engineer
B.Com,Banking,8.82,Bank Officer
B.Sc,Mathematics,7.96,Quantitative Analyst
B.Tech,Data Science,7.66,Data Scientist
B.Pharm,Pharmacy,8.83,Pharmacist
MCA,Computer Applications,6.85,Application Developer
MCA,Computer Applications,8.98,Application Developer
MBBS,General Medicine,8.18,Doctor
MBBS,General Medicine,8.23,Doctor
B.Pharm,Pharmacy,7.59,Pharmacist
B.Pharm,Pharmacy,8.44,Pharmacist
B.Com,Banking,6.87,Bank Officer
BA,Economics,8.26,Economic Analyst
MBA,Marketing,7.75,Marketing Manager
MCA,Computer Applications,8.36,Application Developer
MBA,HR,8.02,HR Executive
B.Sc,Physics,8.36,Research Associate
MCA,Computer Applications,8.1,Application Developer
BBA,Entrepreneurship,6.77,Business Development Executive
MBBS,General Medicine,8.88,Doctor
B.Pharm,Pharmacy,8.79,Pharmacist
BA,Economics,6.78,Economic Analyst
BBA,HR,8.43,HR Executive
BA,Psychology,8.33,Counselor
MBBS,General Medicine,7.46,Doctor
BA,English,7.95,Content Specialist
B.Sc,Chemistry,7.48,Lab Analyst
B.Com,Finance,8.1,Financial Analyst
B.Pharm,Pharmacy,6.76,Pharmacist
B.Com,Taxation,6.61,Tax Consultant
BA,Psychology,7.8,Counselor
BA,Economics,8.53,Economic Analyst
MCA,Computer Applications,7.28,Application Developer
B.Pharm,Pharmacy,6.81,Pharmacist
MCA,Computer Applications,8.43,Application Developer
BBA,Entrepreneurship,6.8,Business Development Executive
BA,English,8.65,Content Specialist
MBA,Finance,7.56,Financial Analyst
BA,Public Administration,7.15,Policy Analyst
B.Pharm,Pharmacy,8.97,Pharmacist
MCA,Computer Applications,7.99,Application Developer
MBBS,General Medicine,6.69,Doctor
B.Tech,Data Science,8.7,Data Scientist
B.Com,Accounting,8.91,Accountant
MBA,Marketing,7.02,Marketing Manager
BBA,Entrepreneurship,7.98,Business Development Executive
B.Sc,Biotechnology,6.74,Biotech Associate
MBA,Operations,8.72,Operations Manager
B.Pharm,Pharmacy,7.47,Pharmacist
B.Sc,Mathematics,6.89,Quantitative Analyst
B.Pharm,Pharmacy,7.67,Pharmacist
MBA,Operations,8.41,Operations Manager
MBA,Business Analytics,8.79,Business Analyst
B.Sc,Statistics,7.06,Data Analyst
B.Com,Finance,7.32,Financial Analyst
B.Com,Taxation,7.43,Tax Consultant
BA,Psychology,8.99,Counselor
B.Tech,Mechanical,7.16,Mechanical Design Engineer
MBBS,General Medicine,8.63,Doctor
BA,Public Administration,7.54,Policy Analyst
MCA,Computer Applications,8.2,Application Developer
B.Sc,Chemistry,7.89,Lab Analyst
B.Pharm,Pharmacy,7.84,Pharmacist
BA,English,6.67,Content Specialist
MBA,HR,7.05,HR Executive
BBA,Finance,7.76,Financial Analyst
MCA,Computer Applications,6.77,Application Developer
MBBS,General Medicine,6.8,Doctor
B.Com,Finance,6.67,Financial Analyst
MCA,Computer Applications,8.49,Application Developer
B.Tech,Data Science,6.68,Data Scientist
BA,English,7.43,Content Specialist
B.Com,Banking,7.89,Bank Officer
BA,English,7.54,Content Specialist
B.Pharm,Pharmacy,8.83,Pharmacist
MBA,HR,7.89,HR Executive
MCA,Computer Applications,8.24,Application Developer
B.Com,Taxation,6.91,Tax Consultant
B.Pharm,Pharmacy,8.02,Pharmacist
B.Pharm,Pharmacy,6.78,Pharmacist
BBA,Marketing,6.71,Marketing Manager
B.Com,Banking,6.73,Bank Officer
MBA,Operations,8.8,Operations Manager
MBBS,General Medicine,7.78,Doctor
B.Sc,Physics,8.62,Research Associate
B.Pharm,Pharmacy,7.41,Pharmacist
BBA,HR,7.03,HR Executive
MBBS,General Medicine,7.19,Doctor
B.Pharm,Pharmacy,7.19,Pharmacist
B.Pharm,Pharmacy,7.21,Pharmacist
MCA,Computer Applications,7.91,Application Developer
B.Pharm,Pharmacy,7.63,Pharmacist
B.Pharm,Pharmacy,8.55,Pharmacist
BA,Public Administration,7.18,Policy Analyst
BBA,Marketing,7.15,Marketing Manager
BBA,Entrepreneurship,7.35,Business Development Executive
B.Sc,Nursing,7.9,Staff Nurse
MBBS,General Medicine,8.24,Doctor
MBBS,General Medicine,6.98,Doctor
BA,Psychology,8.46,Counselor
MCA,Computer Applications,6.55,Application Developer
MBBS,General Medicine,7.03,Doctor
MBBS,General Medicine,6.77,Doctor
B.Com,Accounting,7.88,Accountant
BA,Psychology,8.53,Counselor
MCA,Computer Applications,6.53,Application Developer
B.Com,Accounting,6.91,Accountant
MCA,Computer Applications,7.56,Application Developer
MBA,HR,7.13,HR Executive
MCA,Computer Applications,7.88,Application Developer
BA,English,8.88,Content Specialist
B.Com,Banking,6.51,Bank Officer
MBA,Marketing,8.54,Marketing Manager
BBA,Marketing,8.32,Marketing Manager
BBA,Finance,8.6,Financial Analyst
B.Sc,Physics,8.04,Research Associate
BA,Public Administration,8.48,Policy Analyst
MCA,Computer Applications,6.57,Application Developer
BBA,HR,7.5,HR Executive
BA,Public Administration,6.92,Policy Analyst
BA,English,8.37,Content Specialist
BA,English,8.79,Content Specialist
B.Tech,Information Technology,7.76,IT Analyst
MBBS,General Medicine,7.89,Doctor
MCA,Computer Applications,7.3,Application Developer
MCA,Computer Applications,8.42,Application Developer
BA,Economics,8.22,Economic Analyst
B.Tech,Electronics,8.85,Embedded Systems Engineer
MBBS,General Medicine,7.52,Doctor
B.Pharm,Pharmacy,8.89,Pharmacist
B.Pharm,Pharmacy,8.25,Pharmacist
MBBS,General Medicine,8.87,Doctor
BBA,Entrepreneurship,6.78,Business Development Executive
BA,English,8.16,Content Specialist
BA,Economics,7.58,Economic Analyst
B.Pharm,Pharmacy,8.07,Pharmacist
B.Com,Accounting,7.63,Accountant
B.Com,Banking,7.1,Bank Officer
MBBS,General Medicine,6.76,Doctor
MCA,Computer Applications,8.98,Application Developer
B.Pharm,Pharmacy,8.15,Pharmacist
BA,Psychology,7.31,Counselor
MBBS,General Medicine,6.7,Doctor
B.Sc,Chemistry,8.09,Lab Analyst
MBA,Finance,7.27,Financial Analyst
MBA,Operations,8.3,Operations Manager
BBA,Finance,6.85,Financial Analyst
MBA,Marketing,7.88,Marketing Manager
MBA,Business Analytics,8.67,Business Analyst
MBA,Marketing,8.48,Marketing Manager
B.Pharm,Pharmacy,8.37,Pharmacist
B.Pharm,Pharmacy,7.66,Pharmacist
B.Com,Banking,7.99,Bank Officer
MCA,Computer Applications,7.88,Application Developer
B.Tech,Civil,7.38,Site Engineer
BBA,HR,6.68,HR Executive
BBA,HR,8.01,HR Executive
BBA,Finance,8.47,Financial Analyst
MBA,Finance,7.65,Financial Analyst
MBA,Marketing,8.39,Marketing Manager
B.Pharm,Pharmacy,6.84,Pharmacist
B.Pharm,Pharmacy,8.03,Pharmacist
B.Sc,Physics,8.19,Research Associate
B.Tech,AI & ML,6.52,ML Engineer
BBA,Entrepreneurship,7.63,Business Development Executive
B.Pharm,Pharmacy,8.93,Pharmacist
B.Com,Finance,7.65,Financial Analyst
MBBS,General Medicine,6.56,Doctor
B.Pharm,Pharmacy,7.63,Pharmacist
B.Pharm,Pharmacy,7.53,Pharmacist
B.Com,Finance,6.66,Financial Analyst
B.Pharm,Pharmacy,7.61,Pharmacist
MCA,Computer Applications,6.76,Application Developer
MBA,HR,8.81,HR Executive
B.Com,Taxation,7.3,Tax Consultant
BA,Public Administration,8.42,Policy Analyst
B.Pharm,Pharmacy,6.95,Pharmacist
B.Tech,Information Technology,7.55,IT Analyst
BA,Public Administration,7.84,Policy Analyst
MCA,Computer Applications,7.92,Application Developer
BA,Public Administration,8.42,Policy Analyst
BBA,Entrepreneurship,8.91,Business Development Executive
BBA,Entrepreneurship,6.57,Business Development Executive
MBA,Operations,7.62,Operations Manager
MBA,Operations,8.87,Operations Manager
MBA,HR,8.75,HR Executive
MBA,Operations,8.99,Operations Manager
MBA,Operations,8.43,Operations Manager
MBBS,General Medicine,8.04,Doctor
MBA,Operations,8.94,Operations Manager
B.Tech,Information Technology,6.67,IT Analyst
B.Com,Finance,6.69,Financial Analyst
B.Com,Taxation,7.77,Tax Consultant
MCA,Computer Applications,6.57,Application Developer
B.Pharm,Pharmacy,7.67,Pharmacist
MBBS,General Medicine,7.56,Doctor
MBA,Operations,8.09,Operations Manager
MBA,Operations,8.68,Operations Manager
BA,Public Administration,7.81,Policy Analyst
BBA,HR,8.41,HR Executive
BBA,HR,7.87,HR Executive
MBBS,General Medicine,7.78,Doctor
B.Com,Accounting,8.44,Accountant
MBA,Marketing,7.19,Marketing Manager
B.Sc,Biotechnology,6.53,Biotech Associate
B.Sc,Chemistry,7.43,Lab Analyst
B.Pharm,Pharmacy,8.58,Pharmacist
MBA,Business Analytics,7.42,Business Analyst
MBA,Operations,6.87,Operations Manager
MBA,Business Analytics,6.92,Business Analyst
B.Com,Accounting,8.99,Accountant
B.Sc,Biotechnology,8.02,Biotech Associate
MBBS,General Medicine,6.52,Doctor
BA,Psychology,7.89,Counselor
MBA,Marketing,7.16,Marketing Manager
B.Com,Accounting,8.15,Accountant
MCA,Computer Applications,8.84,Application Developer
B.Com,Accounting,7.12,Accountant
B.Tech,Electronics,8.47,Embedded Systems Engineer
MCA,Computer Applications,7.89,Application Developer
B.Com,Taxation,7.28,Tax Consultant
BA,English,7.26,Content Specialist
B.Com,Finance,8.01,Financial Analyst
BBA,HR,8.25,HR Executive
MBA,Business Analytics,6.58,Business Analyst
B.Pharm,Pharmacy,6.63,Pharmacist
MBBS,General Medicine,8.35,Doctor
MCA,Computer Applications,7.64,Application Developer
MBA,Operations,6.75,Operations Manager
MCA,Computer Applications,7.49,Application Developer
BBA,HR,7.76,HR Executive
